[*] Mapping R-DAC patterns in SP-808TS25E.ima...
[*] Block Size: 4096 bytes
LBA        | Offset       | Entropy  | Type
976        | 0x7a000      | 5.64     | Metadata/Table
984        | 0x7b000      | 7.77     | DATA (R-DAC?)
992        | 0x7c000      | 7.77     | DATA (R-DAC?)
1000       | 0x7d000      | 7.73     | DATA (R-DAC?)
1008       | 0x7e000      | 7.71     | DATA (R-DAC?)
1016       | 0x7f000      | 7.71     | DATA (R-DAC?)
1024       | 0x80000      | 7.70     | DATA (R-DAC?)
1032       | 0x81000      | 7.67     | DATA (R-DAC?)
1040       | 0x82000      | 7.63     | DATA (R-DAC?)
1048       | 0x83000      | 7.64     | DATA (R-DAC?)
1056       | 0x84000      | 7.58     | DATA (R-DAC?)
1064       | 0x85000      | 7.52     | DATA (R-DAC?)
1072       | 0x86000      | 7.44     | DATA (R-DAC?)
1080       | 0x87000      | 7.42     | DATA (R-DAC?)
1088       | 0x88000      | 7.30     | DATA (R-DAC?)
1096       | 0x89000      | 7.21     | DATA (R-DAC?)
1104       | 0x8a000      | 7.80     | DATA (R-DAC?)
1112       | 0x8b000      | 7.82     | DATA (R-DAC?)
1120       | 0x8c000      | 7.82     | DATA (R-DAC?)
1128       | 0x8d000      | 7.77     | DATA (R-DAC?)
1136       | 0x8e000      | 7.77     | DATA (R-DAC?)
1144       | 0x8f000      | 7.74     | DATA (R-DAC?)
1152       | 0x90000      | 7.77     | DATA (R-DAC?)
1160       | 0x91000      | 7.78     | DATA (R-DAC?)
1168       | 0x92000      | 7.77     | DATA (R-DAC?)
1176       | 0x93000      | 7.79     | DATA (R-DAC?)
1184       | 0x94000      | 7.73     | DATA (R-DAC?)
1192       | 0x95000      | 7.74     | DATA (R-DAC?)
1200       | 0x96000      | 7.73     | DATA (R-DAC?)
1208       | 0x97000      | 7.70     | DATA (R-DAC?)
1216       | 0x98000      | 7.70     | DATA (R-DAC?)
1224       | 0x99000      | 7.69     | DATA (R-DAC?)
1232       | 0x9a000      | 7.66     | DATA (R-DAC?)
1240       | 0x9b000      | 7.63     | DATA (R-DAC?)
1248       | 0x9c000      | 7.58     | DATA (R-DAC?)
1256       | 0x9d000      | 7.52     | DATA (R-DAC?)
1264       | 0x9e000      | 7.44     | DATA (R-DAC?)
1272       | 0x9f000      | 7.52     | DATA (R-DAC?)
1280       | 0xa0000      | 7.60     | DATA (R-DAC?)
1288       | 0xa1000      | 7.82     | DATA (R-DAC?)
1296       | 0xa2000      | 7.83     | DATA (R-DAC?)
1304       | 0xa3000      | 7.80     | DATA (R-DAC?)
1312       | 0xa4000      | 7.79     | DATA (R-DAC?)
1320       | 0xa5000      | 7.74     | DATA (R-DAC?)
1328       | 0xa6000      | 7.76     | DATA (R-DAC?)
1336       | 0xa7000      | 7.75     | DATA (R-DAC?)
1344       | 0xa8000      | 7.72     | DATA (R-DAC?)
1352       | 0xa9000      | 7.76     | DATA (R-DAC?)
1360       | 0xaa000      | 7.44     | DATA (R-DAC?)
1368       | 0xab000      | 7.75     | DATA (R-DAC?)
1376       | 0xac000      | 7.72     | DATA (R-DAC?)
1384       | 0xad000      | 7.74     | DATA (R-DAC?)
1392       | 0xae000      | 7.74     | DATA (R-DAC?)
1400       | 0xaf000      | 7.75     | DATA (R-DAC?)
1408       | 0xb0000      | 7.76     | DATA (R-DAC?)
1416       | 0xb1000      | 7.75     | DATA (R-DAC?)
1424       | 0xb2000      | 7.74     | DATA (R-DAC?)
1432       | 0xb3000      | 7.70     | DATA (R-DAC?)
1440       | 0xb4000      | 7.69     | DATA (R-DAC?)
1448       | 0xb5000      | 7.70     | DATA (R-DAC?)
1456       | 0xb6000      | 7.70     | DATA (R-DAC?)
1464       | 0xb7000      | 7.72     | DATA (R-DAC?)
1472       | 0xb8000      | 7.71     | DATA (R-DAC?)
1480       | 0xb9000      | 7.77     | DATA (R-DAC?)
1488       | 0xba000      | 7.77     | DATA (R-DAC?)
1496       | 0xbb000      | 7.79     | DATA (R-DAC?)
1504       | 0xbc000      | 7.66     | DATA (R-DAC?)
1512       | 0xbd000      | 7.68     | DATA (R-DAC?)
1520       | 0xbe000      | 7.69     | DATA (R-DAC?)
1528       | 0xbf000      | 7.74     | DATA (R-DAC?)
1536       | 0xc0000      | 7.77     | DATA (R-DAC?)
1544       | 0xc1000      | 7.77     | DATA (R-DAC?)
1552       | 0xc2000      | 7.77     | DATA (R-DAC?)
1560       | 0xc3000      | 7.72     | DATA (R-DAC?)
1568       | 0xc4000      | 7.77     | DATA (R-DAC?)
1576       | 0xc5000      | 7.65     | DATA (R-DAC?)
1584       | 0xc6000      | 7.51     | DATA (R-DAC?)
1592       | 0xc7000      | 7.25     | DATA (R-DAC?)
1600       | 0xc8000      | 7.21     | DATA (R-DAC?)
1608       | 0xc9000      | 7.76     | DATA (R-DAC?)
1616       | 0xca000      | 7.79     | DATA (R-DAC?)
1624       | 0xcb000      | 7.68     | DATA (R-DAC?)
1632       | 0xcc000      | 7.80     | DATA (R-DAC?)
1640       | 0xcd000      | 7.76     | DATA (R-DAC?)
1648       | 0xce000      | 7.78     | DATA (R-DAC?)
1656       | 0xcf000      | 7.78     | DATA (R-DAC?)
1664       | 0xd0000      | 7.76     | DATA (R-DAC?)
1672       | 0xd1000      | 7.53     | DATA (R-DAC?)
1680       | 0xd2000      | 7.36     | DATA (R-DAC?)
1688       | 0xd3000      | 7.73     | DATA (R-DAC?)
1696       | 0xd4000      | 7.78     | DATA (R-DAC?)
1704       | 0xd5000      | 7.67     | DATA (R-DAC?)
1712       | 0xd6000      | 7.76     | DATA (R-DAC?)
1720       | 0xd7000      | 7.80     | DATA (R-DAC?)
1728       | 0xd8000      | 7.77     | DATA (R-DAC?)
1736       | 0xd9000      | 7.76     | DATA (R-DAC?)
1744       | 0xda000      | 7.73     | DATA (R-DAC?)
1752       | 0xdb000      | 7.76     | DATA (R-DAC?)
1760       | 0xdc000      | 7.76     | DATA (R-DAC?)
1768       | 0xdd000      | 7.73     | DATA (R-DAC?)
1776       | 0xde000      | 7.78     | DATA (R-DAC?)
1784       | 0xdf000      | 7.74     | DATA (R-DAC?)
1792       | 0xe0000      | 7.78     | DATA (R-DAC?)
1800       | 0xe1000      | 7.79     | DATA (R-DAC?)
1808       | 0xe2000      | 7.79     | DATA (R-DAC?)
1816       | 0xe3000      | 7.86     | DATA (R-DAC?)
1824       | 0xe4000      | 7.82     | DATA (R-DAC?)
1832       | 0xe5000      | 7.79     | DATA (R-DAC?)
1840       | 0xe6000      | 7.79     | DATA (R-DAC?)
1848       | 0xe7000      | 7.66     | DATA (R-DAC?)
1856       | 0xe8000      | 7.77     | DATA (R-DAC?)
1864       | 0xe9000      | 7.85     | DATA (R-DAC?)
1872       | 0xea000      | 7.79     | DATA (R-DAC?)
1880       | 0xeb000      | 7.83     | DATA (R-DAC?)
1888       | 0xec000      | 7.81     | DATA (R-DAC?)
1896       | 0xed000      | 7.81     | DATA (R-DAC?)
1904       | 0xee000      | 7.81     | DATA (R-DAC?)
1912       | 0xef000      | 7.80     | DATA (R-DAC?)
1920       | 0xf0000      | 7.53     | DATA (R-DAC?)
1928       | 0xf1000      | 3.84     | Empty/Padding
1936       | 0xf2000      | 3.42     | Empty/Padding
1944       | 0xf3000      | 2.95     | Empty/Padding
1952       | 0xf4000      | 3.91     | Empty/Padding
1960       | 0xf5000      | 1.36     | Empty/Padding
1968       | 0xf6000      | 2.57     | Empty/Padding
1976       | 0xf7000      | 4.55     | Metadata/Table
1984       | 0xf8000      | 4.64     | Metadata/Table
1992       | 0xf9000      | 4.42     | Metadata/Table
2000       | 0xfa000      | 4.16     | Metadata/Table
2008       | 0xfb000      | 4.43     | Metadata/Table
2016       | 0xfc000      | 4.47     | Metadata/Table
2024       | 0xfd000      | 4.52     | Metadata/Table
2032       | 0xfe000      | 4.65     | Metadata/Table
2040       | 0xff000      | 4.68     | Metadata/Table
2048       | 0x100000     | 4.54     | Metadata/Table
2056       | 0x101000     | 4.79     | Metadata/Table
2064       | 0x102000     | 4.79     | Metadata/Table
2072       | 0x103000     | 4.75     | Metadata/Table
2080       | 0x104000     | 4.50     | Metadata/Table
2088       | 0x105000     | 4.68     | Metadata/Table
2096       | 0x106000     | 4.81     | Metadata/Table
2104       | 0x107000     | 4.70     | Metadata/Table
2112       | 0x108000     | 4.70     | Metadata/Table
2120       | 0x109000     | 4.76     | Metadata/Table
2128       | 0x10a000     | 4.75     | Metadata/Table
2136       | 0x10b000     | 4.80     | Metadata/Table
2144       | 0x10c000     | 4.77     | Metadata/Table
2152       | 0x10d000     | 4.68     | Metadata/Table
2160       | 0x10e000     | 2.73     | Empty/Padding
2192       | 0x112000     | 5.75     | Metadata/Table
2200       | 0x113000     | 7.83     | DATA (R-DAC?)
2208       | 0x114000     | 7.84     | DATA (R-DAC?)
2216       | 0x115000     | 7.81     | DATA (R-DAC?)
2224       | 0x116000     | 7.79     | DATA (R-DAC?)
2232       | 0x117000     | 7.84     | DATA (R-DAC?)
2240       | 0x118000     | 7.79     | DATA (R-DAC?)
2248       | 0x119000     | 7.84     | DATA (R-DAC?)
2256       | 0x11a000     | 7.81     | DATA (R-DAC?)
2264       | 0x11b000     | 7.79     | DATA (R-DAC?)
2272       | 0x11c000     | 7.77     | DATA (R-DAC?)
2280       | 0x11d000     | 7.79     | DATA (R-DAC?)
2288       | 0x11e000     | 7.82     | DATA (R-DAC?)
2296       | 0x11f000     | 7.83     | DATA (R-DAC?)
2304       | 0x120000     | 7.53     | DATA (R-DAC?)
2312       | 0x121000     | 3.76     | Empty/Padding
2320       | 0x122000     | 3.24     | Empty/Padding
2328       | 0x123000     | 3.65     | Empty/Padding
2336       | 0x124000     | 4.16     | Metadata/Table
2344       | 0x125000     | 1.40     | Empty/Padding
2352       | 0x126000     | 2.39     | Empty/Padding
2360       | 0x127000     | 3.27     | Empty/Padding
2384       | 0x12a000     | 5.76     | Metadata/Table
2392       | 0x12b000     | 7.86     | DATA (R-DAC?)
2400       | 0x12c000     | 7.19     | Metadata/Table
2408       | 0x12d000     | 6.83     | Metadata/Table
2416       | 0x12e000     | 6.97     | Metadata/Table
2424       | 0x12f000     | 6.93     | Metadata/Table
2432       | 0x130000     | 7.78     | DATA (R-DAC?)
2440       | 0x131000     | 7.86     | DATA (R-DAC?)
2448       | 0x132000     | 7.81     | DATA (R-DAC?)
2456       | 0x133000     | 7.77     | DATA (R-DAC?)
2464       | 0x134000     | 7.35     | DATA (R-DAC?)
2472       | 0x135000     | 6.81     | Metadata/Table
2480       | 0x136000     | 6.98     | Metadata/Table
2488       | 0x137000     | 7.80     | DATA (R-DAC?)
2496       | 0x138000     | 7.54     | DATA (R-DAC?)
2504       | 0x139000     | 4.31     | Metadata/Table
2512       | 0x13a000     | 3.36     | Empty/Padding
2520       | 0x13b000     | 3.46     | Empty/Padding
2528       | 0x13c000     | 3.89     | Empty/Padding
2536       | 0x13d000     | 3.88     | Empty/Padding
2544       | 0x13e000     | 1.30     | Empty/Padding
2552       | 0x13f000     | 3.51     | Empty/Padding
2560       | 0x140000     | 4.73     | Metadata/Table
2568       | 0x141000     | 3.79     | Empty/Padding
2576       | 0x142000     | 5.58     | Metadata/Table
2584       | 0x143000     | 7.74     | DATA (R-DAC?)
2592       | 0x144000     | 7.78     | DATA (R-DAC?)
2600       | 0x145000     | 7.79     | DATA (R-DAC?)
2608       | 0x146000     | 7.80     | DATA (R-DAC?)
2616       | 0x147000     | 7.75     | DATA (R-DAC?)
2624       | 0x148000     | 7.76     | DATA (R-DAC?)
2632       | 0x149000     | 7.78     | DATA (R-DAC?)
2640       | 0x14a000     | 7.77     | DATA (R-DAC?)
2648       | 0x14b000     | 7.71     | DATA (R-DAC?)
2656       | 0x14c000     | 7.78     | DATA (R-DAC?)
2664       | 0x14d000     | 7.77     | DATA (R-DAC?)
2672       | 0x14e000     | 7.78     | DATA (R-DAC?)
2680       | 0x14f000     | 7.77     | DATA (R-DAC?)
2688       | 0x150000     | 7.79     | DATA (R-DAC?)
2696       | 0x151000     | 7.78     | DATA (R-DAC?)
2704       | 0x152000     | 7.78     | DATA (R-DAC?)
2712       | 0x153000     | 7.76     | DATA (R-DAC?)
2720       | 0x154000     | 7.79     | DATA (R-DAC?)
2728       | 0x155000     | 7.78     | DATA (R-DAC?)
2736       | 0x156000     | 7.77     | DATA (R-DAC?)
2744       | 0x157000     | 7.74     | DATA (R-DAC?)
2752       | 0x158000     | 7.80     | DATA (R-DAC?)
2760       | 0x159000     | 7.76     | DATA (R-DAC?)
2768       | 0x15a000     | 7.73     | DATA (R-DAC?)
2776       | 0x15b000     | 7.79     | DATA (R-DAC?)
2784       | 0x15c000     | 7.79     | DATA (R-DAC?)
2792       | 0x15d000     | 7.79     | DATA (R-DAC?)
2800       | 0x15e000     | 7.78     | DATA (R-DAC?)
2808       | 0x15f000     | 7.77     | DATA (R-DAC?)
2816       | 0x160000     | 7.79     | DATA (R-DAC?)
2824       | 0x161000     | 7.77     | DATA (R-DAC?)
2832       | 0x162000     | 7.74     | DATA (R-DAC?)
2840       | 0x163000     | 7.78     | DATA (R-DAC?)
2848       | 0x164000     | 7.79     | DATA (R-DAC?)
2856       | 0x165000     | 7.77     | DATA (R-DAC?)
2864       | 0x166000     | 7.75     | DATA (R-DAC?)
2872       | 0x167000     | 7.77     | DATA (R-DAC?)
2880       | 0x168000     | 7.80     | DATA (R-DAC?)
2888       | 0x169000     | 7.75     | DATA (R-DAC?)
2896       | 0x16a000     | 7.77     | DATA (R-DAC?)
2904       | 0x16b000     | 7.77     | DATA (R-DAC?)
2912       | 0x16c000     | 7.72     | DATA (R-DAC?)
2920       | 0x16d000     | 7.76     | DATA (R-DAC?)
2928       | 0x16e000     | 7.76     | DATA (R-DAC?)
2936       | 0x16f000     | 7.78     | DATA (R-DAC?)
2944       | 0x170000     | 7.76     | DATA (R-DAC?)
2952       | 0x171000     | 7.77     | DATA (R-DAC?)
2960       | 0x172000     | 7.81     | DATA (R-DAC?)
2968       | 0x173000     | 7.74     | DATA (R-DAC?)
2976       | 0x174000     | 7.77     | DATA (R-DAC?)
2984       | 0x175000     | 7.78     | DATA (R-DAC?)
2992       | 0x176000     | 7.80     | DATA (R-DAC?)
3000       | 0x177000     | 7.78     | DATA (R-DAC?)
3008       | 0x178000     | 7.75     | DATA (R-DAC?)
3016       | 0x179000     | 7.77     | DATA (R-DAC?)
3024       | 0x17a000     | 7.77     | DATA (R-DAC?)
3032       | 0x17b000     | 7.77     | DATA (R-DAC?)
3040       | 0x17c000     | 7.74     | DATA (R-DAC?)
3048       | 0x17d000     | 7.77     | DATA (R-DAC?)
3056       | 0x17e000     | 7.80     | DATA (R-DAC?)
3064       | 0x17f000     | 7.77     | DATA (R-DAC?)
3072       | 0x180000     | 7.75     | DATA (R-DAC?)
3080       | 0x181000     | 7.76     | DATA (R-DAC?)
3088       | 0x182000     | 7.77     | DATA (R-DAC?)
3096       | 0x183000     | 7.79     | DATA (R-DAC?)
3104       | 0x184000     | 7.75     | DATA (R-DAC?)
3112       | 0x185000     | 7.75     | DATA (R-DAC?)
3120       | 0x186000     | 7.78     | DATA (R-DAC?)
3128       | 0x187000     | 7.77     | DATA (R-DAC?)
3136       | 0x188000     | 7.80     | DATA (R-DAC?)
3144       | 0x189000     | 7.78     | DATA (R-DAC?)
3152       | 0x18a000     | 7.78     | DATA (R-DAC?)
3160       | 0x18b000     | 7.77     | DATA (R-DAC?)
3168       | 0x18c000     | 7.76     | DATA (R-DAC?)
3176       | 0x18d000     | 7.78     | DATA (R-DAC?)
3184       | 0x18e000     | 7.81     | DATA (R-DAC?)
3192       | 0x18f000     | 7.79     | DATA (R-DAC?)
3200       | 0x190000     | 7.77     | DATA (R-DAC?)
3208       | 0x191000     | 7.78     | DATA (R-DAC?)
3216       | 0x192000     | 7.78     | DATA (R-DAC?)
3224       | 0x193000     | 7.73     | DATA (R-DAC?)
3232       | 0x194000     | 7.79     | DATA (R-DAC?)
3240       | 0x195000     | 7.76     | DATA (R-DAC?)
3248       | 0x196000     | 7.76     | DATA (R-DAC?)
3256       | 0x197000     | 7.77     | DATA (R-DAC?)
3264       | 0x198000     | 7.74     | DATA (R-DAC?)
3272       | 0x199000     | 7.78     | DATA (R-DAC?)
3280       | 0x19a000     | 7.77     | DATA (R-DAC?)
3288       | 0x19b000     | 7.75     | DATA (R-DAC?)
3296       | 0x19c000     | 7.81     | DATA (R-DAC?)
3304       | 0x19d000     | 7.70     | DATA (R-DAC?)
3312       | 0x19e000     | 7.75     | DATA (R-DAC?)
3320       | 0x19f000     | 7.77     | DATA (R-DAC?)
3328       | 0x1a0000     | 7.78     | DATA (R-DAC?)
3336       | 0x1a1000     | 7.80     | DATA (R-DAC?)
3344       | 0x1a2000     | 6.29     | Metadata/Table
3352       | 0x1a3000     | 7.82     | DATA (R-DAC?)
3360       | 0x1a4000     | 7.84     | DATA (R-DAC?)
3368       | 0x1a5000     | 7.83     | DATA (R-DAC?)
3376       | 0x1a6000     | 7.79     | DATA (R-DAC?)
3384       | 0x1a7000     | 7.64     | DATA (R-DAC?)
3392       | 0x1a8000     | 7.80     | DATA (R-DAC?)
3400       | 0x1a9000     | 7.78     | DATA (R-DAC?)
3408       | 0x1aa000     | 7.85     | DATA (R-DAC?)
3416       | 0x1ab000     | 7.82     | DATA (R-DAC?)
3424       | 0x1ac000     | 7.84     | DATA (R-DAC?)
3432       | 0x1ad000     | 7.24     | DATA (R-DAC?)
3440       | 0x1ae000     | 7.01     | Metadata/Table
3448       | 0x1af000     | 7.76     | DATA (R-DAC?)
3456       | 0x1b0000     | 7.53     | DATA (R-DAC?)
3464       | 0x1b1000     | 4.23     | Metadata/Table
3472       | 0x1b2000     | 3.87     | Empty/Padding
3480       | 0x1b3000     | 2.91     | Empty/Padding
3488       | 0x1b4000     | 3.16     | Empty/Padding
3496       | 0x1b5000     | 3.64     | Empty/Padding
3504       | 0x1b6000     | 1.42     | Empty/Padding
3536       | 0x1ba000     | 5.72     | Metadata/Table
3544       | 0x1bb000     | 7.74     | DATA (R-DAC?)
3552       | 0x1bc000     | 7.77     | DATA (R-DAC?)
3560       | 0x1bd000     | 7.77     | DATA (R-DAC?)
3568       | 0x1be000     | 7.78     | DATA (R-DAC?)
3576       | 0x1bf000     | 7.75     | DATA (R-DAC?)
3584       | 0x1c0000     | 7.84     | DATA (R-DAC?)
3592       | 0x1c1000     | 7.84     | DATA (R-DAC?)
3600       | 0x1c2000     | 7.84     | DATA (R-DAC?)
3608       | 0x1c3000     | 7.84     | DATA (R-DAC?)
3616       | 0x1c4000     | 7.83     | DATA (R-DAC?)
3624       | 0x1c5000     | 7.82     | DATA (R-DAC?)
3632       | 0x1c6000     | 7.79     | DATA (R-DAC?)
3640       | 0x1c7000     | 7.77     | DATA (R-DAC?)
3648       | 0x1c8000     | 7.76     | DATA (R-DAC?)
3656       | 0x1c9000     | 7.75     | DATA (R-DAC?)
3664       | 0x1ca000     | 7.78     | DATA (R-DAC?)
3672       | 0x1cb000     | 7.75     | DATA (R-DAC?)
3680       | 0x1cc000     | 7.74     | DATA (R-DAC?)
3688       | 0x1cd000     | 7.70     | DATA (R-DAC?)
3696       | 0x1ce000     | 7.81     | DATA (R-DAC?)
3704       | 0x1cf000     | 7.82     | DATA (R-DAC?)
3712       | 0x1d0000     | 7.86     | DATA (R-DAC?)
3720       | 0x1d1000     | 7.76     | DATA (R-DAC?)
3728       | 0x1d2000     | 7.82     | DATA (R-DAC?)
3736       | 0x1d3000     | 7.81     | DATA (R-DAC?)
3744       | 0x1d4000     | 7.74     | DATA (R-DAC?)
3752       | 0x1d5000     | 7.60     | DATA (R-DAC?)
3760       | 0x1d6000     | 7.70     | DATA (R-DAC?)
3768       | 0x1d7000     | 7.66     | DATA (R-DAC?)
3776       | 0x1d8000     | 7.52     | DATA (R-DAC?)
3784       | 0x1d9000     | 7.48     | DATA (R-DAC?)
3792       | 0x1da000     | 7.58     | DATA (R-DAC?)
3800       | 0x1db000     | 7.43     | DATA (R-DAC?)
3808       | 0x1dc000     | 7.48     | DATA (R-DAC?)
3816       | 0x1dd000     | 7.37     | DATA (R-DAC?)
3824       | 0x1de000     | 7.43     | DATA (R-DAC?)
3832       | 0x1df000     | 7.36     | DATA (R-DAC?)
3840       | 0x1e0000     | 7.34     | DATA (R-DAC?)
3848       | 0x1e1000     | 7.32     | DATA (R-DAC?)
3856       | 0x1e2000     | 7.28     | DATA (R-DAC?)
3864       | 0x1e3000     | 7.30     | DATA (R-DAC?)
3872       | 0x1e4000     | 7.21     | DATA (R-DAC?)
3880       | 0x1e5000     | 7.30     | DATA (R-DAC?)
3888       | 0x1e6000     | 7.21     | DATA (R-DAC?)
3896       | 0x1e7000     | 7.20     | Metadata/Table
3904       | 0x1e8000     | 7.71     | DATA (R-DAC?)
3912       | 0x1e9000     | 7.76     | DATA (R-DAC?)
3920       | 0x1ea000     | 7.75     | DATA (R-DAC?)
3928       | 0x1eb000     | 7.72     | DATA (R-DAC?)
3936       | 0x1ec000     | 7.74     | DATA (R-DAC?)
3944       | 0x1ed000     | 7.78     | DATA (R-DAC?)
3952       | 0x1ee000     | 7.51     | DATA (R-DAC?)
3960       | 0x1ef000     | 7.85     | DATA (R-DAC?)
3968       | 0x1f0000     | 7.84     | DATA (R-DAC?)
3976       | 0x1f1000     | 7.81     | DATA (R-DAC?)
3984       | 0x1f2000     | 7.82     | DATA (R-DAC?)
3992       | 0x1f3000     | 7.81     | DATA (R-DAC?)
4000       | 0x1f4000     | 7.81     | DATA (R-DAC?)
4008       | 0x1f5000     | 7.81     | DATA (R-DAC?)
4016       | 0x1f6000     | 7.79     | DATA (R-DAC?)
4024       | 0x1f7000     | 7.78     | DATA (R-DAC?)
4032       | 0x1f8000     | 7.85     | DATA (R-DAC?)
4040       | 0x1f9000     | 7.70     | DATA (R-DAC?)
4048       | 0x1fa000     | 7.73     | DATA (R-DAC?)
4056       | 0x1fb000     | 7.63     | DATA (R-DAC?)
4064       | 0x1fc000     | 7.82     | DATA (R-DAC?)
4072       | 0x1fd000     | 7.80     | DATA (R-DAC?)
4080       | 0x1fe000     | 7.85     | DATA (R-DAC?)
4088       | 0x1ff000     | 7.72     | DATA (R-DAC?)
4096       | 0x200000     | 7.76     | DATA (R-DAC?)
4104       | 0x201000     | 7.70     | DATA (R-DAC?)
4112       | 0x202000     | 7.79     | DATA (R-DAC?)
4120       | 0x203000     | 7.67     | DATA (R-DAC?)
4128       | 0x204000     | 7.71     | DATA (R-DAC?)
4136       | 0x205000     | 7.68     | DATA (R-DAC?)
